72747 INL Int.Falls Observations at 00Z 20 Jun 2012
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     58                                                               
  965.0    361   15.8   15.8    100  11.83     10      3  291.9  325.6  294.0
  937.1    610   14.6   13.7     95  10.63     65     12  293.1  323.6  295.0
  925.0    720   14.0   12.8     92  10.14     60     11  293.6  322.8  295.4
  924.0    729   14.0   12.8     92  10.15     59     11  293.7  322.9  295.5
  904.0    914   14.3   11.3     82   9.36     30      8  295.9  323.1  297.5
  898.0    971   14.4   10.8     79   9.13     31      7  296.5  323.2  298.2
  871.8   1219   12.2   10.0     86   8.91     35      5  296.8  322.9  298.4
  850.0   1432   10.4    9.3     93   8.72    140      4  297.0  322.6  298.6
  840.0   1531    9.6    9.3     98   8.83    144      7  297.2  323.1  298.8
  810.4   1829    8.6    8.1     97   8.40    155     15  299.2  324.1  300.7
  800.0   1936    8.2    7.6     96   8.25    155     13  299.9  324.4  301.4
  781.1   2134    8.8    4.9     76   7.00    155     10  302.6  323.8  303.9
  764.0   2318    9.4    2.4     62   5.99    209      6  305.1  323.6  306.2
  757.0   2394   10.4    0.4     50   5.23    232      5  307.0  323.4  308.0
  753.0   2438   10.2    0.1     50   5.14    245      4  307.2  323.3  308.2
  725.8   2743    8.4   -2.2     47   4.51    295     19  308.6  322.9  309.4
  707.0   2960    7.2   -3.8     45   4.10    295     26  309.5  322.6  310.3
  700.0   3042    7.2   -4.8     42   3.84    295     28  310.4  322.8  311.1
  699.5   3048    7.2   -4.8     42   3.84    295     28  310.5  322.8  311.2
  694.0   3113    7.0   -5.0     42   3.82    292     28  311.0  323.3  311.7
  688.0   3184    7.2   -2.8     49   4.55    289     27  312.0  326.6  312.8
  649.1   3658    3.4   -2.6     64   4.88    270     24  312.9  328.6  313.8
  639.0   3786    2.4   -2.6     70   4.97    267     29  313.2  329.1  314.1
  601.9   4267   -0.0   -0.5     97   6.19    255     46  315.7  335.6  316.9
  601.0   4280   -0.1   -0.4     98   6.22    255     46  315.8  335.8  317.0
  557.4   4877   -3.4   -3.8     97   5.20    250     57  318.8  335.8  319.8
  528.0   5306   -5.7   -6.3     96   4.55    248     63  321.0  336.1  321.9
  500.0   5730   -9.7  -11.4     87   3.22    245     70  321.1  332.0  321.8
  481.0   6028  -11.9  -14.8     79   2.54    249     77  322.0  330.7  322.5
  476.7   6096  -12.3  -15.4     78   2.44    250     79  322.3  330.7  322.8
  440.0   6705  -16.1  -20.6     68   1.70    250     88  325.0  331.0  325.3
  439.9   6706  -16.1  -20.6     68   1.70    250     88  325.0  331.0  325.4
  420.0   7055  -16.9  -21.6     67   1.63    245     83  328.3  334.2  328.6
  400.0   7420  -18.7  -23.7     65   1.42    240     77  330.6  335.8  330.9
  389.4   7620  -19.9  -24.9     64   1.32    235     77  331.6  336.5  331.9
  389.0   7628  -19.9  -24.9     64   1.31    235     77  331.7  336.5  331.9
  373.4   7925  -22.0  -27.6     60   1.07    235     73  332.8  336.8  333.0
  315.6   9144  -30.5  -38.8     44   0.43    230     80  337.3  339.0  337.4
  300.0   9510  -33.1  -42.1     40   0.32    230     77  338.6  339.9  338.7
  286.0   9843  -35.3  -45.3     35   0.23    226     78  340.1  341.1  340.2
  250.0  10760  -43.1  -53.1     32   0.11    215     80  341.9  342.3  341.9
  242.2  10973  -44.8  -54.8     32   0.09    215     76  342.5  342.9  342.5
  228.0  11376  -47.9  -57.9     31   0.07    213     82  343.6  343.9  343.7
  200.0  12230  -54.1  -64.1     28   0.03    210     94  346.9  347.1  346.9
  191.7  12497  -56.1  -65.9     28   0.03    210     97  347.9  348.1  347.9
  189.0  12585  -56.8  -66.5     28   0.03    210     97  348.2  348.4  348.2
  167.0  13362  -62.7  -71.7     29   0.01    224     84  350.9  351.0  350.9
  165.7  13411  -62.6  -71.9     28   0.01    225     83  351.9  352.0  351.9
  162.0  13549  -62.3  -72.3     25   0.01    227     85  354.7  354.7  354.7
  151.0  13980  -65.1  -75.1     24   0.01    235     91  357.1  357.1  357.1
  150.0  14021  -64.9  -74.9     24   0.01    240     91  358.1  358.2  358.1
  150.0  14020  -64.9  -74.9     24   0.01    240     91  358.1  358.1  358.1
  147.0  14144  -62.9  -72.9     25   0.01    244     85  363.6  363.7  363.6
  142.0  14358  -62.3  -72.3     25   0.02    251     74  368.3  368.4  368.3
  135.9  14630  -59.4  -70.2     23   0.02    260     60  378.1  378.2  378.1
  135.0  14673  -58.9  -69.9     23   0.02    258     58  379.7  379.8  379.7
  129.5  14935  -59.2  -71.0     20   0.02    245     44  383.7  383.8  383.7
  128.0  15007  -59.3  -71.3     20   0.02    244     44  384.8  384.9  384.8
  123.3  15240  -60.6  -73.2     18   0.02    240     46  386.6  386.7  386.6
  120.0  15409  -61.5  -74.5     16   0.01    246     51  387.9  388.0  387.9
  118.0  15513  -61.3  -74.3     16   0.01    249     54  390.1  390.2  390.1
  117.4  15545  -60.5  -73.8     16   0.01    250     55  392.1  392.2  392.1
  116.0  15620  -58.7  -72.7     15   0.02    254     51  396.9  396.9  396.9
  111.8  15850  -58.9  -72.9     15   0.02    265     40  400.7  400.8  400.7
  111.0  15897  -58.9  -72.9     15   0.02    264     38  401.5  401.6  401.5
  106.5  16154  -59.8  -74.9     12   0.01    260     24  404.6  404.6  404.6
  103.0  16365  -60.5  -76.5     11   0.01    255     28  407.1  407.2  407.1
  101.0  16488  -60.1  -78.1      8   0.01    252     30  410.2  410.2  410.2
  100.0  16550  -57.9  -77.9      6   0.01    250     31  415.6  415.6  415.6
   96.6  16769  -56.7  -81.7      3   0.01    246     28  422.1  422.1  422.1
   95.3  16855  -54.9  -83.9      2   0.00    245     27  427.2  427.2  427.2
   93.7  16963  -55.3  -87.3      1   0.00    243     26  428.5  428.5  428.5
   87.4  17404  -58.7  -86.8      2   0.00    235     20  430.3  430.3  430.3
   80.4  17927  -59.3  -86.3      2   0.00    226     14  439.4  439.4  439.4
   79.7  17983  -59.1  -86.2      2   0.00    225     13  440.9  440.9  440.9
   75.9  18288  -58.2  -85.9      2   0.00    245     19  449.0  449.1  449.0
   72.3  18593  -57.2  -85.5      2   0.00    235     22  457.3  457.3  457.3
   70.4  18764  -56.7  -85.3      2   0.00    239     20  462.0  462.0  462.0
   70.0  18800  -56.7  -85.3      2   0.00    240     20  462.7  462.8  462.7
   65.7  19202  -57.3  -84.9      2   0.00    235      4  469.9  469.9  469.9
   59.7  19812  -58.2  -84.2      2   0.01    160     20  481.0  481.0  481.0
   59.1  19872  -58.3  -84.2      2   0.01    174     19  482.1  482.1  482.1
   56.9  20117  -56.6  -83.9      2   0.01    230     15  491.2  491.3  491.2
   54.2  20422  -54.5  -83.6      2   0.01    165     12  502.9  502.9  502.9
   50.0  20940  -54.7  -83.0      2   0.01     55      7  514.1  514.2  514.1
   47.0  21336  -54.0  -82.6      2   0.01    165      3  525.0  525.1  525.0
   43.6  21818  -53.1  -82.1      2   0.01    153     12  538.6  538.7  538.6
   42.7  21946  -53.2  -82.0      2   0.01    150     14  541.3  541.4  541.3
   40.8  22250  -53.5  -81.6      2   0.01    155     21  548.0  548.0  548.0
   38.9  22555  -53.8  -81.3      2   0.01    120      3  554.7  554.8  554.7
   36.1  23030  -54.3  -80.8      2   0.02    109      6  565.3  565.5  565.3
   30.7  24079  -52.5  -79.7      2   0.02     85     14  597.1  597.3  597.1
   30.0  24220  -52.3  -79.5      2   0.02     85     13  601.5  601.7  601.5
   29.2  24384  -52.1  -79.4      2   0.03     90     14  606.2  606.5  606.3
   27.9  24689  -51.9  -79.0      2   0.03    105     13  615.3  615.5  615.3
   26.6  24994  -51.5  -78.7      2   0.03     95     15  624.4  624.7  624.4
   26.4  25050  -51.5  -78.7      2   0.03     97     15  626.1  626.4  626.1
   25.4  25298  -51.0  -78.4      2   0.03    105     15  634.3  634.6  634.3
   24.3  25603  -50.4  -78.1      2   0.04     85     15  644.5  644.9  644.5
   22.1  26213  -49.2  -77.5      2   0.05     70     15  665.5  665.9  665.5
   21.1  26518  -48.6  -77.1      2   0.05     65     15  676.2  676.7  676.2
   20.0  26870  -47.9  -76.8      2   0.06     80     18  688.8  689.4  688.8
   19.2  27127  -47.3  -76.5      2   0.06     95     25  698.2  698.8  698.2
   18.4  27432  -46.6  -76.2      2   0.07    125     17  709.6  710.3  709.6
